Título,Semilla,Estado,Frecuencia,Tamaño,Palabras_clave,Materia
CEIP Juan Sebastián Elcano (Cádiz),http://colegioelcanosanfernando.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
CEIP Fermín Salvochea (Cádiz),http://colegioferminsalvochea.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Pío XII (Jerez de la Frontera, Cádiz)",http://colegiopioxiijerez.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Riofrío (Arcos de la Frontera, Cádiz)",http://colegiopublicoriofrio.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Sagrada Familia (Jerez de la Frontera, Cádiz)",http://colesagradajerez.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Ilustre Colegio Oficial de Veterinarios de Cádiz,http://colvetcadiz.org,Activa,Semestral,Pequeno,Veterinaria / Veterinarios / Asociaciones / Cádiz,Veterinaria
Consejo Local de Hermandades y Cofradías de Algeciras (Cádiz),http://consejolocaldehhccalgeciras.com,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Cádiz,Religión
"Carromato El : teatro de calle (Puerto de Santa María, Cádiz)",http://elcarromato.com,Activa,Semestral,Pequeno,Teatro de calle / Compañías teatrales / Cádiz,Arte
"CEIP El Pino Sanlúcar de Barrameda, Cádiz)",http://elpinosanlucar.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Ernesto Olivares (San José del Valle, Cádiz)",http://ernestoolivares2016.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"Etú (Vejer de la Frontera, Cádiz)",http://etu-vino.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Fernando de Castilla (Jerez de la Frontera, Cádiz)",http://fernandodecastilla.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Vinagre / Cádiz,Bebidas
Bodegas Gutiérrez Colosia (El Puerto de Santa María (Cádiz),http://gutierrezcolosia.com,Activa,Anual,Mediano,Vinos / Brandy / Vinagre / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"IES Andrés Benítez (Jerez de la Frontera, Cádiz)",http://iesandresbenitez.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Bahía de Algeciras (Algeciras, Cádiz)",http://iesbahia.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Casas Viejas (Benalup-Casas Viejas, Cádiz)",http://iescasasviejas.net,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Fuente Alta (Algodonales, Cádiz)",http://iesfuentealta.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES José Cadalso (San Roque, Cádiz)",http://iesjosecadalso.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Pintor Juan Lara (El Puerto de Santa María, Cádiz)",http://iesjuanlara.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Pedro Sáinz de Andino (Alcalá de los Gazules, Cádiz)",http://iespsa.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES San Juan de Dios (Medina Sidonia, Cádiz)",http://iessanjuandedios.weebly.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES San Lucas (Sanlúcar de Barrameda, Cádiz)",http://iessanlucas.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Santo Domingo (El Puerto de Santa María, Cádiz)",http://iessantodomingo.net,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Sidón (Medina Sidonia, Cádiz)",http://iessidon.com/websidon/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Sierra Almenara (San Roque, Cádiz)",http://iessierraalmenara.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Valdelagrana (El Puerto de Santa María, Cádiz)",http://iesvaldelagrana.org,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Wenceslao Benítez (San Fernando, Cádiz)",http://ieswenceslaobenitez.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Poeta Carlos Álvarez (Jerez de la Frontera, Cádiz)",http://infantilpoetaalvarez.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Instituto de Investigación e Innovación Biomédico de Cádiz (INBICO),http://inibica.es,Activa,Semestral,Pequeno,Ciencias biomédicas / Investigación / Instituciones científicas / Cádiz,Medicina
"IES Virgen del Carmen (Puerto Real, Cádiz)",http://institutovirgendelcarmen.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Isabel la Católica (Chiclana de la Frontera, Cádiz)",http://isabelinacat.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
CEIP Josefina Pascual (Cádiz),http://josefinapascual.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Ntra. Sra. de las Nieves (Arcos de la Frontera, Cádiz)",http://lasnieves3.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Federico García Lorca (Chiclana de la Frontera, Cádiz)",http://lorcachiclana.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Luis Ponce de León (Rota, Cádiz)",http://luisponceleonrota.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Fernando Hue y Gutiérrez (Zahara, Cádiz)",http://micolezahara.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Ntra. Sra. de los Remedios (Chiclana de la Frontera, Cádiz)",http://nuestrocolelosremedios.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"Oleum Viride (Zahara de la Sierra, Cádiz)",http://oleumviride.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cádiz,Alimentaria
"CEIP Padre Muriel (Benalup- Casas Viejas, Cádiz)",http://padremuriel.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Populares de Cádiz - Partido Popular de Cádiz - (PP de Cádiz),http://ppcadiz.es,Activa,Semestral,Pequeno,Política / Instituciones políticas / Partidos políticos / Partido Popular de Cádiz (PP de Cádiz) / Cádiz,Política
"CEIP José Luis Poullet (El Puerto de Santa María, Cádiz)",http://puerto-poullet.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Azorín (Rota, Cádiz)",http://rotaazorin.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP San Fernando (Bornos, Cádiz)",http://sanfernandobornos.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Tajo de las Figuras (Benalup- Casas Viejas, Cádiz)",http://tajo-figuras.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"Teatro Estudio Jerez (TEJ) (Jerez de la Frontera, Cádiz)",http://tejproducciones.com/escuela.php,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Cádiz,Arte
Ayuntamiento de Algeciras (Cádiz),http://www.algeciras.es/es/,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Cádiz,Administración
"Alma de Jerez (Torrecera, Cádiz)",http://www.almadejerez.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cádiz,Alimentaria
"Leonor Leal (Jerez de la Frontera, Cádiz)",http://www.anegro.net/index.php/leonor-leal,Activa,Semestral,Pequeno,Teatro / Danza / Flamenco / Artistas / Cádiz,Arte
Bodegas La Cigarrera (Sanlúcar de Barrameda (Cádiz),http://www.bodegaslacigarrera.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Bodegas Miguel Guerra (Chiclana, Cádiz)",http://www.bodegasmiguelguerra.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Bodegas José Tejero Moreno (Jerez de la Frontera, Cádiz)",http://www.bodegastejero.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"CEIP San José de Calasanz (Rota, Cádiz)",http://www.calasanzrota.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Ntra. Sra. de la Oliva (Vejer de la Frontera, Cádiz)",http://www.ceipdelaoliva.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Elio Antonio de Nebrija (Jerez de la Frontera, Cádiz)",http://www.ceipelioantoniodenebrija.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP El Santiscal (Arcos de la Frontera, Cádiz)",http://www.ceipelsantiscal.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Fernando Gavilán (Ubrique, Cádiz)",http://www.ceipfernandogavilan.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Isabel La Católica (Jerez de la Frontera, Cádiz)",http://www.ceipisabellacatolica.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Cerveza Artesana Maier (Cádiz),http://www.cervezamaier.com,Activa,Anual,Mediano,Cerveza / Industria de las bebidas / Cádiz,Bebidas
"CEIP Reina Sofía (Ubrique, Cádiz)",http://www.colegioreinasofia.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP San Ramón Nonato (Los Barrios, Cádiz)",http://www.colegiosanramonnonato.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"Cortijo de la Jara (Jerez de la Frontera, Cádiz)",http://www.covijerez.es,Activa,Anual,Mediano,Vinos / Industrias de las bebidas / Cooperativas / Cádiz,Bebidas
"Entrechuelos (Jerez de la Frontera, Cádiz)",http://www.entrechuelos.com,Activa,Anual,Mediano,Vinos / Bodegas / Industrias de las bebidas / Cádiz,Bebidas
Equipo Navazos (Jerez de la Frontera (Cádiz),http://www.equiponavazos.com/es/inicio/,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
Consejo Local de Hermandades y Cofradías de Barbate (Cádiz),http://www.hermandadesdebarbate.com,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Cádiz,Religión
"IES Alminares (Arcos de la Frontera, Cádiz)",http://www.iesalminares.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Baelo Claudia (Tarifa, Cádiz)",http://www.iesbaeloclaudiatarifa.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Botánico (San Fernando, Cádiz)",http://www.iesbotanico.org,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Carlos III (Prado del Rey, Cádiz)",http://www.iescarlosiii.net,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Castillo de Fatetar (Espera, Cádiz)",http://www.iescastillodefatetar.com/web/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Cristóbal Colón (Sanlúcar de Barrameda, Cádiz)",http://www.iescristobalcolon.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES El Convento (Bornos ,Cádiz)",http://www.ieselconvento.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES El Picacho (Sanlúcar de Barrameda, Cádiz)",http://www.ieselpicacho.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
IES Fernando Aguilar Quignon (Cádiz),http://www.iesfernandoaguilar.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Fernando Quiñones (Chiclana de la Frontera, Cádiz)",http://www.iesfernandoquinones.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Hozgarganta (Jimena de la Frontera, Cádiz)",http://www.ieshozgarganta.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES La Atalaya (Conil de la Frontera, Cádiz)",http://www.ieslaatalayaconil.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES La Janda (Vejer de la Frontera, Cádiz)",http://www.ieslajanda.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Los Cabezuelos (Arcos de la Frontera, Cádiz)",http://www.iesloscabezuelos.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Mar de Cádiz (El Puerto de Santa María, Cádiz)",http://www.ies-mardecadiz.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Pedro Muñoz Seca (El Puerto de Santa María, Cádiz)",http://www.iespedromunozseca.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Saladillo (Algeciras, Cádiz)",http://www.iessaladillo.es/web/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Sierra de Lijar (Olvera, Cádiz)",http://www.iessierradelijar.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Trafalgar (Barbate, Cádiz)",http://www.iestrafalgar.org,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Sierra de Cádiz (Algar, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11000095/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Carlos Cano (Los Barrios, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11000289/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Ventura Morón (Algeciras, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11000381/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Alfonso X El Sabio (Arcos de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11000642/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Juan XXIII (Arcos de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11000757/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP San Isidro Labrador (Los Barrios, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11000885/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Lapachar (Chipiona, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11002274/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Pablo Picasso (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11002471/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Gloria Fuertes (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11002663/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Andrés de Ribera (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11003059/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Virgen del Mar (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11003473/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Guadalete (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11003588/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Torrecera (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11003591/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Isabel La Católica (La Línea de la Concepción, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11003692/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Santiago El Mayor (Medina-Sidonia, Cádiz))",http://www.juntadeandalucia.es/averroes/centros-tic/11004015/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Doctor Thebussem (Medina-Sidonia, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11004040/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Sericícola (El Puerto de Santa María, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11004234/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Reggio (Puerto Real, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11004659/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Guadalquivir (Sanlúcar de Barrameda, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11005536/helvia/sitio/index.cgi,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
IES Fuerte de Cortadura (Cádiz),http://www.juntadeandalucia.es/averroes/centros-tic/11006486/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP San Bernardo (Algeciras, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11006887/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Maestro Manuel Aparcero (Chipiona, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11006929/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Maestro Eduardo Lobillo (Rota, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11007090/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Antonio Briante Caro (Trebujena, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11007132/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Asta Regia (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11007387/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Pinar Hondo (El Puerto de Santa María, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11007399/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP El Trocadero (Puerto Real, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11007511/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Gibalbín (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11007867/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Maestro Juan Apresa (Arcos de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11007995/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Blas Infante (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11008100/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
CEIP San Felipe (Cádiz),http://www.juntadeandalucia.es/averroes/centros-tic/11602824/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
CEIP Carlos III (Cádiz),http://www.juntadeandalucia.es/averroes/centros-tic/11602988/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Montealegre (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11602991/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Cuartillo (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11603002/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Raimundo Rivero (San Fernando, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11603270/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Ángel Ruiz Enciso (Medina-Sidonia, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11603361/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Erytheia (San Fernando, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11603373a/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Huerta del Rosario (Chiclana de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700123/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Almunia (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700160/helvia/sitio/index.cgi,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"IES Santa Isabel de Hungría (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700172/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
